#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
1	ENST00000504551	chr1	+	16767215	16785503	16767256	16785385	6	16767215,16774364,16775587,16778332,16782312,16785336,	16767348,16774469,16775696,16778510,16782388,16785503,	0	ENSG00000157191	cmpl	cmpl	0,2,2,0,1,2,
1	ENST00000406746	chr1	+	16767218	16786572	16767256	16785385	9	16767218,16770126,16774364,16774554,16775587,16778332,16782312,16785336,16786271,	16767348,16770227,16774469,16774636,16775696,16778510,16782388,16785545,16786572,	0	ENSG00000157191	cmpl	cmpl	0,2,1,1,2,0,1,2,-1,
1	ENST00000457722	chr1	+	16767218	16785568	16767256	16785385	8	16767218,16770126,16774364,16774554,16775587,16778332,16782312,16785336,	16767270,16770227,16774469,16774636,16775696,16778510,16782388,16785568,	0	ENSG00000157191	cmpl	cmpl	0,2,1,1,2,0,1,2,
1	ENST00000443980	chr1	+	16767230	16786572	16767256	16785491	7	16767230,16770126,16774364,16774554,16775587,16778332,16785336,	16767348,16770227,16774469,16774636,16775696,16778510,16786572,	0	ENSG00000157191	cmpl	cmpl	0,2,1,1,2,0,1,
1	ENST00000504858	chr1	+	16767231	16778510	16767256	16775595	6	16767231,16770126,16774364,16775587,16776619,16778332,	16767348,16770227,16774469,16775696,16776736,16778510,	0	ENSG00000157191	cmpl	cmpl	0,2,1,1,-1,-1,
1	ENST00000492095	chr1	+	16767237	16786572	16767256	16785385	9	16767237,16770126,16774364,16774554,16775587,16778332,16782312,16785336,16785768,	16767348,16770227,16774469,16774636,16775696,16778510,16782388,16785557,16786572,	0	ENSG00000157191	cmpl	cmpl	0,2,1,1,2,0,1,2,-1,
1	ENST00000459640	chr1	+	16767250	16785451	16767256	16776715	9	16767250,16770126,16774364,16774554,16775587,16776619,16778332,16782312,16785336,	16767348,16770227,16774469,16774636,16775696,16776736,16778510,16782388,16785451,	0	ENSG00000157191	cmpl	cmpl	0,2,1,1,2,0,-1,-1,-1,
1	ENST00000496239	chr1	+	16767252	16786572	16786572	16786572	7	16767252,16770126,16774364,16774554,16775587,16782312,16785336,	16767348,16770227,16774469,16774636,16778510,16782388,16786572,	0	ENSG00000157191	none	none	-1,-1,-1,-1,-1,-1,-1,
1	ENST00000513161	chr1	+	16767266	16785503	16767266	16775595	6	16767266,16770126,16775587,16778332,16782312,16785336,	16767348,16770227,16775696,16778510,16782388,16785503,	0	ENSG00000157191	incmpl	incmpl	1,2,1,-1,-1,-1,
1	ENST00000374379	chr1	+	25071847	25170815	25072044	25167428	6	25071847,25124232,25140584,25153500,25166350,25167263,	25072116,25124342,25140710,25153607,25166532,25170815,	0	ENSG00000169504	cmpl	cmpl	0,0,2,2,1,0,
16	ENST00000489099	chr1	-	63906443	63989173	63913256	63988804	10	63906443,63912476,63913235,63919588,63920050,63920560,63944434,63955753,63974198,63988799,	63906774,63912527,63913285,63919645,63920144,63920639,63944504,63955889,63974241,63989173,	0	ENSG00000142856	cmpl	cmpl	-1,-1,1,1,0,2,1,0,2,0,
16	ENST00000371092	chr1	-	63906443	63988865	63912477	63988804	10	63906443,63912476,63919588,63920050,63920560,63944434,63955753,63974198,63975735,63988799,	63906774,63912527,63919645,63920144,63920639,63944504,63955889,63974241,63975852,63988865,	0	ENSG00000142856	cmpl	cmpl	-1,1,1,0,2,1,0,2,2,0,
